Stkcd,Accper,total_assets,tptal_liability,total_equity,operating profit
1,2014-06-30,2136475000000.0,2015535000000.0,120940000000.0,13345000000.0
1,2014-12-31,2186459000000.0,2055510000000.0,130949000000.0,26246000000.0
1,2015-06-30,2570508000000.0,2419628000000.0,150880000000.0,15267000000.0
1,2015-12-31,2507149000000.0,2345649000000.0,161500000000.0,28895000000.0
1,2016-06-30,2800983000000.0,2609283000000.0,191700000000.0,16156000000.0
1,2016-12-31,2953434000000.0,2751263000000.0,202171000000.0,29779000000.0
1,2017-06-30,3092142000000.0,2880688000000.0,211454000000.0,16468000000.0
1,2017-12-31,3248474000000.0,3026420000000.0,222054000000.0,30223000000.0
1,2018-06-30,3367399000000.0,3139258000000.0,228141000000.0,17402000000.0
2,2014-06-30,501774293462.21,396054413569.37,105719879892.84,6856260391.03
2,2014-12-31,508408755415.65,392515138495.68,115893616919.97,24979358867.78
2,2015-06-30,536937642517.23,419137785852.01,117799856665.22,8718934358.8
2,2015-12-31,611295567689.29,474985950368.27,136309617321.02,33122777302.51
2,2016-06-30,712306691248.75,574132643250.84,138174047997.91,9904605249.0
2,2016-12-31,830674213924.14,668997642643.14,161676571281.0,39023778797.86
2,2017-06-30,929265916207.12,768108159850.6,161157756356.52,13661653665.83
2,2017-12-31,1165346917804.55,978672978646.26,186673939158.29,50812916408.4
2,2018-06-30,1345151635212.87,1139367483490.15,205784151722.72,19629139535.89
4,2014-06-30,275964182.38,138997110.31,136967072.07,-3549201.71
4,2014-12-31,338282581.12,180898121.77,157384459.35,3805326.19
4,2015-06-30,348660266.12,186865143.06,161795123.06,6535987.73
4,2015-12-31,398673507.14,235377522.44,163295984.7,10137004.02
4,2016-06-30,463831852.88,297543423.67,166288429.21,4174096.07
4,2016-12-31,223716293.01,45516490.93,178199802.08,51576371.77
4,2017-06-30,228686700.01,56242770.65,172443929.36,-5993508.57
4,2017-12-31,268844295.64,84752252.15,184092043.49,8796946.37
4,2018-06-30,320351200.3,113860468.47,206490731.83,-2033695.73
5,2014-06-30,1592899330.78,993875001.47,599024329.31,-25277385.05
5,2014-12-31,1366663807.86,696948779.06,669715028.8,53515574.98
5,2015-06-30,1341597410.43,695070889.89,646526520.54,-23428015.29
5,2015-12-31,2194008790.39,980809665.48,1213199124.91,-59377412.59
5,2016-06-30,2337898450.71,993335871.43,1344562579.28,135304892.25
5,2016-12-31,2527235374.1,1171900473.07,1355334901.03,129010582.49
5,2017-06-30,2771696977.37,1431420059.4,1340276917.97,-14929431.4
5,2017-12-31,2912099984.28,1507732075.91,1404367908.37,55770681.54
5,2018-06-30,2871183554.56,1457915179.61,1413268374.95,10841509.75
6,2014-06-30,11009599979.61,7034515818.79,3975084160.82,50741156.11
6,2014-12-31,11753217519.19,7538751702.75,4214465816.44,671279811.48
6,2015-06-30,11770598640.07,7445918078.12,4324680561.95,362617662.38
6,2015-12-31,12703504209.26,8208379056.36,4495125152.9,592102817.31
6,2016-06-30,13123005009.21,8685151411.59,4437853597.62,140948210.43
6,2016-12-31,13170385529.96,8040509904.22,5129875625.74,910717401.09
6,2017-06-30,13012148156.66,7861966872.74,5150181283.92,358125067.81
6,2017-12-31,13139931309.25,7432572286.19,5707359023.06,961839383.04
6,2018-06-30,12094223129.67,6181761513.44,5912461616.23,511411312.62
7,2014-06-30,685395873.03,302082660.44,383313212.59,-8615764.53
7,2014-12-31,680925246.96,322959007.89,357966239.07,-28744452.66
7,2015-06-30,526090690.95,177248982.68,348841708.27,-7747051.05
7,2015-12-31,480364514.33,107528386.62,372836127.71,12616654.84
7,2016-06-30,575597609.35,127554057.06,448043552.29,29978771.08
7,2016-12-31,514367695.08,77135641.4,437232053.68,91154708.91
7,2017-06-30,446219122.08,51353112.56,394866009.52,6029854.64
7,2017-12-31,442675592.96,52248511.41,390427081.55,6651055.03
7,2018-06-30,425904282.36,46573406.29,379330876.07,-14663118.76
8,2014-06-30,632124341.35,59906566.5,572217774.85,11616536.56
8,2014-12-31,674028043.8,75677281.52,598350762.28,18290671.46
8,2015-06-30,3278468391.5,488512586.49,2789955805.01,80847516.34
8,2015-12-31,3589354694.52,681292694.72,2908061999.8,195740020.08
8,2016-06-30,6899236936.48,1219432790.88,5679804145.6,32466366.02
8,2016-12-31,8192656625.83,2020170574.43,6172486051.4,563740757.51
8,2017-06-30,8394470247.05,2162360282.14,6232109964.91,60956585.53
8,2017-12-31,10678315229.7,3491262205.66,7187053024.04,1020297615.69
8,2018-06-30,9788928643.7,2664919526.03,7124009117.67,85757606.06
9,2014-06-30,13763051610.1,8450926294.92,5312125315.18,339885683.97
9,2014-12-31,14725495570.64,9261367292.35,5464128278.29,546882994.48
9,2015-06-30,15343074815.59,9661940642.21,5681134173.38,221381618.48
9,2015-12-31,18113933205.77,11560350527.06,6553582678.71,1099818977.22
9,2016-06-30,18710453048.06,11710435316.77,7000017731.29,197410355.73
9,2016-12-31,21622925841.2,13488187993.04,8134737848.16,451131117.21
9,2017-06-30,24249227168.92,15118355442.61,9130871726.31,223033537.2
9,2017-12-31,27109464910.13,17163559482.16,9945905427.97,357274816.9
9,2018-06-30,28255619787.24,18328195525.53,9927424261.71,342074137.19
10,2014-06-30,794965276.52,175390436.69,619574839.83,-6127237.88
10,2014-12-31,804218432.41,252627868.25,551590564.16,-51507526.74
10,2015-06-30,1887709566.44,1334944860.18,552764706.26,10898914.74
10,2015-12-31,5174655863.85,2991880915.67,2182774948.18,25664966.69
10,2016-06-30,4755583981.25,2546830174.04,2208753807.21,42423008.16
10,2016-12-31,4865760551.42,2643687338.94,2222073212.48,70009769.16
10,2017-06-30,3899986165.67,1704054554.05,2195931611.62,-51346433.91
10,2017-12-31,3105153052.01,1925555405.98,1179597646.03,-1053917896.87
10,2018-06-30,2649558970.77,1552593624.01,1096965346.76,-85918311.37
11,2014-06-30,3588338174.44,1821302149.52,1767036024.92,144029684.7
11,2014-12-31,3883288145.46,1808183396.33,2075104749.13,574747513.98
11,2015-06-30,3756568697.53,1784367418.06,1972201279.47,43061675.48
11,2015-12-31,4379763486.1,2278994632.43,2100768853.67,47649314.57
11,2016-06-30,5910285347.18,3861442708.74,2048842638.44,-3421102.04
11,2016-12-31,6654356144.1,4243059321.29,2411296822.81,494699431.49
