,Stkcd,Accper,Typrep,total_assets,tptal_liability,total_equity
1,1,2014-06-30,A,2136475000000.0,2015535000000.0,120940000000.0
3,1,2014-12-31,A,2186459000000.0,2055510000000.0,130949000000.0
6,1,2015-06-30,A,2570508000000.0,2419628000000.0,150880000000.0
8,1,2015-12-31,A,2507149000000.0,2345649000000.0,161500000000.0
11,1,2016-06-30,A,2800983000000.0,2609283000000.0,191700000000.0
13,1,2016-12-31,A,2953434000000.0,2751263000000.0,202171000000.0
24,2,2014-06-30,A,501774293462.21,396054413569.37,105719879892.84
29,2,2014-12-31,A,508408755415.65,392515138495.68,115893616919.97
35,2,2015-06-30,A,536937642517.23,419137785852.01,117799856665.22
39,2,2015-12-31,A,611295567689.29,474985950368.27,136309617321.02
45,2,2016-06-30,A,712306691248.75,574132643250.84,138174047997.91
49,2,2016-12-31,A,830674213924.14,668997642643.14,161676571281.0
68,4,2014-06-30,A,275964182.38,138997110.31,136967072.07
73,4,2014-12-31,A,338282581.12,180898121.77,157384459.35
79,4,2015-06-30,A,348660266.12,186865143.06,161795123.06
83,4,2015-12-31,A,398673507.14,235377522.44,163295984.7
89,4,2016-06-30,A,463831852.88,297543423.67,166288429.21
93,4,2016-12-31,A,223716293.01,45516490.93,178199802.08
113,5,2014-06-30,A,1592899330.78,993875001.47,599024329.31
117,5,2014-12-31,A,1366663807.86,696948779.06,669715028.8
123,5,2015-06-30,A,1341597410.43,695070889.89,646526520.54
127,5,2015-12-31,A,2194008790.39,980809665.48,1213199124.91
133,5,2016-06-30,A,2337898450.71,993335871.43,1344562579.28
137,5,2016-12-31,A,2527235374.1,1171900473.07,1355334901.03
156,6,2014-06-30,A,11009599979.61,7034515818.79,3975084160.82
161,6,2014-12-31,A,11753217519.19,7538751702.75,4214465816.44
167,6,2015-06-30,A,11770598640.07,7445918078.12,4324680561.95
171,6,2015-12-31,A,12703504209.26,8208379056.36,4495125152.9
177,6,2016-06-30,A,13123005009.21,8685151411.59,4437853597.62
181,6,2016-12-31,A,13170385529.96,8040509904.22,5129875625.74
200,7,2014-06-30,A,685395873.03,302082660.44,383313212.59
205,7,2014-12-31,A,680925246.96,322959007.89,357966239.07
211,7,2015-06-30,A,526090690.95,177248982.68,348841708.27
215,7,2015-12-31,A,480364514.33,107528386.62,372836127.71
221,7,2016-06-30,A,575597609.35,127554057.06,448043552.29
225,7,2016-12-31,A,514367695.08,77135641.4,437232053.68
244,8,2014-06-30,A,632124341.35,59906566.5,572217774.85
249,8,2014-12-31,A,674028043.8,75677281.52,598350762.28
255,8,2015-06-30,A,3278468391.5,488512586.49,2789955805.01
259,8,2015-12-31,A,3589354694.52,681292694.72,2908061999.8
265,8,2016-06-30,A,6899236936.48,1219432790.88,5679804145.6
269,8,2016-12-31,A,8192656625.83,2020170574.43,6172486051.4
288,9,2014-06-30,A,13763051610.1,8450926294.92,5312125315.18
293,9,2014-12-31,A,14725495570.64,9261367292.35,5464128278.29
299,9,2015-06-30,A,15343074815.59,9661940642.21,5681134173.38
303,9,2015-12-31,A,18113933205.77,11560350527.06,6553582678.71
309,9,2016-06-30,A,18710453048.06,11710435316.77,7000017731.29
313,9,2016-12-31,A,21622925841.2,13488187993.04,8134737848.16
333,10,2014-06-30,A,794965276.52,175390436.69,619574839.83
337,10,2014-12-31,A,804218432.41,252627868.25,551590564.16
343,10,2015-06-30,A,1887709566.44,1334944860.18,552764706.26
347,10,2015-12-31,A,5174655863.85,2991880915.67,2182774948.18
